Unnamed: 0,Organization Full Name,Organization Class,Responsible Party,Brief Title,Full Title,Overall Status_ph2,Start Date,Standard Age,Conditions,Primary Purpose,Interventions,Intervention Description,Study Type,Phases,Outcome Measure,Medical Subject Headings,Phases_clean,Interventions_clean,Overall Status_ph3,label_success
6325,Stanford University,OTHER,SPONSOR,Evaluation of Cyberknife Precision Radiation Delivery System for Unresectable Malignant Lung Cancer,Evaluation of the Cyberknife Precision Radiation Delivery System for Unresectable Malignant Lung Tumors - A Phase I/II Study,COMPLETED,2000-03,ADULT OLDER_ADULT,Lung Cancer,TREATMENT,Stereotactic radiosurgery,Unknown,INTERVENTIONAL,"PHASE1, PHASE2",Maximal tolerated dose (MTD) that can be delivered with stereotactic radiosurgery in patients with inoperable malignant lung tumors Efficacy of radiosurgical ablation of lung tumors in terms of symptoms and radiographic responses,Lung Neoplasms,"PHASE1, PHASE2",stereotactic radiosurgery,RECRUITING,0
6344,EDAP TMS S.A.,INDUSTRY,SPONSOR,"Ablatherm Integrated Imaging High Intensity Focused Ultrasound for the Indication of Low Risk, Localized Prostate Cancer","Ablatherm Integrated Imaging High Intensity Focused Ultrasound for the Indication of Low Risk, Localized Prostate Cancer",UNKNOWN,2006-04,ADULT OLDER_ADULT,Prostate Cancer,TREATMENT,"Integrated Imaging High Intensity Focused Ultrasound, Endocare CRYOcare Cryosurgical and Galil Medical CRYO-HIT Systems (cryotherapy)","Unknown, Cryotherapy",INTERVENTIONAL,"PHASE2, PHASE3",Attainment achievement of prostate-specific antigen (PSA) nadir < 0.5 ng/ml and stability of PSA according to American Society for Therapeutic Radiology and Oncology (ASTRO) criteria through 24 month follow up without a positive biopsy,Prostatic Neoplasms,"PHASE2, PHASE3","integrated imaging high intensity focused ultrasound, endocare cryocare cryosurgical and galil medical cryo-hit systems (cryotherapy)",UNKNOWN,0
6652,Fondazione del Piemonte per l'Oncologia,OTHER,SPONSOR,A Study of Nab-paclitaxel-based Doublet as First Line Therapy in Patients With Cancer of Unknown Primary (CUP),"A Phase II, Randomized, Multicenter Study to Assess the Efficacy of Nab-paclitaxel-based Doublet as First Line Therapy in Patients With Cancer of Unknown Primary (CUP): The AGNOSTOS Trial",COMPLETED,2015-03,ADULT OLDER_ADULT,Unknown Primary Tumors,TREATMENT,"nab-paclitaxel, Carboplatin, Gemcitabine","Unknown, Unknown, Unknown",INTERVENTIONAL,PHASE2,Objective response rate (ORR) as evaluated according to Response Evaluation Criteria in Solid Tumors (RECIST) version 1.1 guidelines.,"Neoplasms, Unknown Primary",PHASE2,"nab-paclitaxel, carboplatin, gemcitabine",COMPLETED,1
6736,Radboud University Medical Center,OTHER,SPONSOR,Efficacy of Prophylactic Treatment With Antibiotics During Concomitant Chemoradiotherapy in Patients With Head and Neck Cancer to Prevent Aspiration Pneumonia,Efficacy and Cost Efficacy of Prophylactic Treatment With Antibiotics During Concomitant Chemoradiotherapy in Patients With Locally Advanced Head and Neck Cancer to Prevent Aspiration Pneumonia. A Randomized Phase II-III Study,UNKNOWN,2011-12,ADULT OLDER_ADULT,Head and Neck Cancer,TREATMENT,amoxicillin/clavulanic acid suspension,"625 mg tid, start day 29 after the start of CRT until 14 days after the end of CRT",INTERVENTIONAL,"PHASE2, PHASE3",the number of definite pneumonia and/ or suspected pneumonia,"Pneumonia Pneumonia, Aspiration Head and Neck Neoplasms","PHASE2, PHASE3",amoxicillin/clavulanic acid suspension,UNKNOWN,0
6957,AHS Cancer Control Alberta,OTHER,SPONSOR,Study to See Whether Breath-Hold Techniques During RT Are Effective in Helping to Improve Sparing of the Heart,A Cohort Study Assessing Cardiac Function With MRI in Left-Sided Breast Cancer Patients Treated With Deep Inspiration Breath Hold (DIBH) Technique to Improve Cardiac Sparing During Adjuvant Radiotherapy,UNKNOWN,2014-10,ADULT OLDER_ADULT,"Breast Cancer, Adverse Effect of Radiation Therapy",DIAGNOSTIC,Radiation therapy,Unknown,INTERVENTIONAL,PHASE2,Radiation related acute and long term functional changes in patients treated with deep-inspiration breath hold compared to free-breathing technique,Breast Neoplasms,PHASE2,radiation therapy,COMPLETED,1
6957,AHS Cancer Control Alberta,OTHER,SPONSOR,Study to See Whether Breath-Hold Techniques During RT Are Effective in Helping to Improve Sparing of the Heart,A Cohort Study Assessing Cardiac Function With MRI in Left-Sided Breast Cancer Patients Treated With Deep Inspiration Breath Hold (DIBH) Technique to Improve Cardiac Sparing During Adjuvant Radiotherapy,UNKNOWN,2014-10,ADULT OLDER_ADULT,"Breast Cancer, Adverse Effect of Radiation Therapy",DIAGNOSTIC,Radiation therapy,Unknown,INTERVENTIONAL,PHASE2,Radiation related acute and long term functional changes in patients treated with deep-inspiration breath hold compared to free-breathing technique,Breast Neoplasms,PHASE2,radiation therapy,RECRUITING,0
6957,AHS Cancer Control Alberta,OTHER,SPONSOR,Study to See Whether Breath-Hold Techniques During RT Are Effective in Helping to Improve Sparing of the Heart,A Cohort Study Assessing Cardiac Function With MRI in Left-Sided Breast Cancer Patients Treated With Deep Inspiration Breath Hold (DIBH) Technique to Improve Cardiac Sparing During Adjuvant Radiotherapy,UNKNOWN,2014-10,ADULT OLDER_ADULT,"Breast Cancer, Adverse Effect of Radiation Therapy",DIAGNOSTIC,Radiation therapy,Unknown,INTERVENTIONAL,PHASE2,Radiation related acute and long term functional changes in patients treated with deep-inspiration breath hold compared to free-breathing technique,Breast Neoplasms,PHASE2,radiation therapy,COMPLETED,1
6957,AHS Cancer Control Alberta,OTHER,SPONSOR,Study to See Whether Breath-Hold Techniques During RT Are Effective in Helping to Improve Sparing of the Heart,A Cohort Study Assessing Cardiac Function With MRI in Left-Sided Breast Cancer Patients Treated With Deep Inspiration Breath Hold (DIBH) Technique to Improve Cardiac Sparing During Adjuvant Radiotherapy,UNKNOWN,2014-10,ADULT OLDER_ADULT,"Breast Cancer, Adverse Effect of Radiation Therapy",DIAGNOSTIC,Radiation therapy,Unknown,INTERVENTIONAL,PHASE2,Radiation related acute and long term functional changes in patients treated with deep-inspiration breath hold compared to free-breathing technique,Breast Neoplasms,PHASE2,radiation therapy,COMPLETED,1
6957,AHS Cancer Control Alberta,OTHER,SPONSOR,Study to See Whether Breath-Hold Techniques During RT Are Effective in Helping to Improve Sparing of the Heart,A Cohort Study Assessing Cardiac Function With MRI in Left-Sided Breast Cancer Patients Treated With Deep Inspiration Breath Hold (DIBH) Technique to Improve Cardiac Sparing During Adjuvant Radiotherapy,UNKNOWN,2014-10,ADULT OLDER_ADULT,"Breast Cancer, Adverse Effect of Radiation Therapy",DIAGNOSTIC,Radiation therapy,Unknown,INTERVENTIONAL,PHASE2,Radiation related acute and long term functional changes in patients treated with deep-inspiration breath hold compared to free-breathing technique,Breast Neoplasms,PHASE2,radiation therapy,COMPLETED,1
6957,AHS Cancer Control Alberta,OTHER,SPONSOR,Study to See Whether Breath-Hold Techniques During RT Are Effective in Helping to Improve Sparing of the Heart,A Cohort Study Assessing Cardiac Function With MRI in Left-Sided Breast Cancer Patients Treated With Deep Inspiration Breath Hold (DIBH) Technique to Improve Cardiac Sparing During Adjuvant Radiotherapy,UNKNOWN,2014-10,ADULT OLDER_ADULT,"Breast Cancer, Adverse Effect of Radiation Therapy",DIAGNOSTIC,Radiation therapy,Unknown,INTERVENTIONAL,PHASE2,Radiation related acute and long term functional changes in patients treated with deep-inspiration breath hold compared to free-breathing technique,Breast Neoplasms,PHASE2,radiation therapy,COMPLETED,1
6957,AHS Cancer Control Alberta,OTHER,SPONSOR,Study to See Whether Breath-Hold Techniques During RT Are Effective in Helping to Improve Sparing of the Heart,A Cohort Study Assessing Cardiac Function With MRI in Left-Sided Breast Cancer Patients Treated With Deep Inspiration Breath Hold (DIBH) Technique to Improve Cardiac Sparing During Adjuvant Radiotherapy,UNKNOWN,2014-10,ADULT OLDER_ADULT,"Breast Cancer, Adverse Effect of Radiation Therapy",DIAGNOSTIC,Radiation therapy,Unknown,INTERVENTIONAL,PHASE2,Radiation related acute and long term functional changes in patients treated with deep-inspiration breath hold compared to free-breathing technique,Breast Neoplasms,PHASE2,radiation therapy,COMPLETED,1
6957,AHS Cancer Control Alberta,OTHER,SPONSOR,Study to See Whether Breath-Hold Techniques During RT Are Effective in Helping to Improve Sparing of the Heart,A Cohort Study Assessing Cardiac Function With MRI in Left-Sided Breast Cancer Patients Treated With Deep Inspiration Breath Hold (DIBH) Technique to Improve Cardiac Sparing During Adjuvant Radiotherapy,UNKNOWN,2014-10,ADULT OLDER_ADULT,"Breast Cancer, Adverse Effect of Radiation Therapy",DIAGNOSTIC,Radiation therapy,Unknown,INTERVENTIONAL,PHASE2,Radiation related acute and long term functional changes in patients treated with deep-inspiration breath hold compared to free-breathing technique,Breast Neoplasms,PHASE2,radiation therapy,ACTIVE_NOT_RECRUITING,0
6957,AHS Cancer Control Alberta,OTHER,SPONSOR,Study to See Whether Breath-Hold Techniques During RT Are Effective in Helping to Improve Sparing of the Heart,A Cohort Study Assessing Cardiac Function With MRI in Left-Sided Breast Cancer Patients Treated With Deep Inspiration Breath Hold (DIBH) Technique to Improve Cardiac Sparing During Adjuvant Radiotherapy,UNKNOWN,2014-10,ADULT OLDER_ADULT,"Breast Cancer, Adverse Effect of Radiation Therapy",DIAGNOSTIC,Radiation therapy,Unknown,INTERVENTIONAL,PHASE2,Radiation related acute and long term functional changes in patients treated with deep-inspiration breath hold compared to free-breathing technique,Breast Neoplasms,PHASE2,radiation therapy,WITHDRAWN,0
6957,AHS Cancer Control Alberta,OTHER,SPONSOR,Study to See Whether Breath-Hold Techniques During RT Are Effective in Helping to Improve Sparing of the Heart,A Cohort Study Assessing Cardiac Function With MRI in Left-Sided Breast Cancer Patients Treated With Deep Inspiration Breath Hold (DIBH) Technique to Improve Cardiac Sparing During Adjuvant Radiotherapy,UNKNOWN,2014-10,ADULT OLDER_ADULT,"Breast Cancer, Adverse Effect of Radiation Therapy",DIAGNOSTIC,Radiation therapy,Unknown,INTERVENTIONAL,PHASE2,Radiation related acute and long term functional changes in patients treated with deep-inspiration breath hold compared to free-breathing technique,Breast Neoplasms,PHASE2,radiation therapy,COMPLETED,1
6957,AHS Cancer Control Alberta,OTHER,SPONSOR,Study to See Whether Breath-Hold Techniques During RT Are Effective in Helping to Improve Sparing of the Heart,A Cohort Study Assessing Cardiac Function With MRI in Left-Sided Breast Cancer Patients Treated With Deep Inspiration Breath Hold (DIBH) Technique to Improve Cardiac Sparing During Adjuvant Radiotherapy,UNKNOWN,2014-10,ADULT OLDER_ADULT,"Breast Cancer, Adverse Effect of Radiation Therapy",DIAGNOSTIC,Radiation therapy,Unknown,INTERVENTIONAL,PHASE2,Radiation related acute and long term functional changes in patients treated with deep-inspiration breath hold compared to free-breathing technique,Breast Neoplasms,PHASE2,radiation therapy,COMPLETED,1
6957,AHS Cancer Control Alberta,OTHER,SPONSOR,Study to See Whether Breath-Hold Techniques During RT Are Effective in Helping to Improve Sparing of the Heart,A Cohort Study Assessing Cardiac Function With MRI in Left-Sided Breast Cancer Patients Treated With Deep Inspiration Breath Hold (DIBH) Technique to Improve Cardiac Sparing During Adjuvant Radiotherapy,UNKNOWN,2014-10,ADULT OLDER_ADULT,"Breast Cancer, Adverse Effect of Radiation Therapy",DIAGNOSTIC,Radiation therapy,Unknown,INTERVENTIONAL,PHASE2,Radiation related acute and long term functional changes in patients treated with deep-inspiration breath hold compared to free-breathing technique,Breast Neoplasms,PHASE2,radiation therapy,WITHDRAWN,0
6957,AHS Cancer Control Alberta,OTHER,SPONSOR,Study to See Whether Breath-Hold Techniques During RT Are Effective in Helping to Improve Sparing of the Heart,A Cohort Study Assessing Cardiac Function With MRI in Left-Sided Breast Cancer Patients Treated With Deep Inspiration Breath Hold (DIBH) Technique to Improve Cardiac Sparing During Adjuvant Radiotherapy,UNKNOWN,2014-10,ADULT OLDER_ADULT,"Breast Cancer, Adverse Effect of Radiation Therapy",DIAGNOSTIC,Radiation therapy,Unknown,INTERVENTIONAL,PHASE2,Radiation related acute and long term functional changes in patients treated with deep-inspiration breath hold compared to free-breathing technique,Breast Neoplasms,PHASE2,radiation therapy,COMPLETED,1
6957,AHS Cancer Control Alberta,OTHER,SPONSOR,Study to See Whether Breath-Hold Techniques During RT Are Effective in Helping to Improve Sparing of the Heart,A Cohort Study Assessing Cardiac Function With MRI in Left-Sided Breast Cancer Patients Treated With Deep Inspiration Breath Hold (DIBH) Technique to Improve Cardiac Sparing During Adjuvant Radiotherapy,UNKNOWN,2014-10,ADULT OLDER_ADULT,"Breast Cancer, Adverse Effect of Radiation Therapy",DIAGNOSTIC,Radiation therapy,Unknown,INTERVENTIONAL,PHASE2,Radiation related acute and long term functional changes in patients treated with deep-inspiration breath hold compared to free-breathing technique,Breast Neoplasms,PHASE2,radiation therapy,COMPLETED,1
6957,AHS Cancer Control Alberta,OTHER,SPONSOR,Study to See Whether Breath-Hold Techniques During RT Are Effective in Helping to Improve Sparing of the Heart,A Cohort Study Assessing Cardiac Function With MRI in Left-Sided Breast Cancer Patients Treated With Deep Inspiration Breath Hold (DIBH) Technique to Improve Cardiac Sparing During Adjuvant Radiotherapy,UNKNOWN,2014-10,ADULT OLDER_ADULT,"Breast Cancer, Adverse Effect of Radiation Therapy",DIAGNOSTIC,Radiation therapy,Unknown,INTERVENTIONAL,PHASE2,Radiation related acute and long term functional changes in patients treated with deep-inspiration breath hold compared to free-breathing technique,Breast Neoplasms,PHASE2,radiation therapy,COMPLETED,1
6979,"Second Affiliated Hospital, School of Medicine, Zhejiang University",OTHER,SPONSOR,"Application of Pablizumab Combined With Apatinib and Chemotherapy in Resectable Non-small Cell Lung Cancer： A Prospective, Single Arm, Single Center Phase II Clinical Study of Neoadjuvant Therapy","Application of Pablizumab Combined With Apatinib and Chemotherapy in Resectable Non-small Cell Lung Cancer： A Prospective, Single Arm, Single Center Phase II Clinical Study of Neoadjuvant Therapy",UNKNOWN,2021-08-01,ADULT OLDER_ADULT,Non-small Cell Lung Cancer,TREATMENT,pablizumab combined with apatinib and neoadjuvant chemotherapy,The patients with stage IIa-IIIa non-small cell lung cancer are treated with pablizumab combined with apatinib and neoadjuvant chemotherapy,INTERVENTIONAL,"PHASE2, PHASE3",The main pathological response rate,"Lung Neoplasms Carcinoma, Non-Small-Cell Lung","PHASE2, PHASE3",pablizumab combined with apatinib and neoadjuvant chemotherapy,UNKNOWN,0
7088,Fujian Medical University Union Hospital,OTHER,SPONSOR,Camrelizumab in Combination With Radiotherapy for Neoadjuvant Esophageal Carcinoma.,The Safety and Efficacy of Camrelizumab in Combination With Radiotherapy for Neoadjuvant Esophageal Squamous Cell Carcinoma.,RECRUITING,2021-09-23,ADULT OLDER_ADULT,"Esophageal Neoplasm, Immunotherapy, Radiotherapy",TREATMENT,Camrelizumab,Neoadjuvant Camrelizumab combined with radiotherapy,INTERVENTIONAL,"PHASE1, PHASE2",Efficacy of Camrelizumab in Combination With Radiotherapy for Neoadjuvant Esophageal Carcinoma. Safety of Camrelizumab in Combination With Radiotherapy for Neoadjuvant Esophageal Carcinoma.,Esophageal Neoplasms,"PHASE1, PHASE2",camrelizumab,ACTIVE_NOT_RECRUITING,0
7144,NYU Langone Health,OTHER,Unknown,Combination Chemotherapy in Treating Patients With Advanced Colorectal Cancer,A Phase II Trial of Eloxatin in Combination With 5-Fluorouracil and Leucovorin in Patients With Advanced Colorectal Carcinoma,COMPLETED,1999-01,ADULT OLDER_ADULT,Colorectal Cancer,TREATMENT,"FOLFOX regimen, fluorouracil, leucovorin calcium, oxaliplatin","Unknown, Unknown, Unknown, Unknown",INTERVENTIONAL,PHASE2,Unknown,Colorectal Neoplasms,PHASE2,"folfox regimen, fluorouracil, leucovorin calcium, oxaliplatin",UNKNOWN,0
7144,NYU Langone Health,OTHER,Unknown,Combination Chemotherapy in Treating Patients With Advanced Colorectal Cancer,A Phase II Trial of Eloxatin in Combination With 5-Fluorouracil and Leucovorin in Patients With Advanced Colorectal Carcinoma,COMPLETED,1999-01,ADULT OLDER_ADULT,Colorectal Cancer,TREATMENT,"FOLFOX regimen, fluorouracil, leucovorin calcium, oxaliplatin","Unknown, Unknown, Unknown, Unknown",INTERVENTIONAL,PHASE2,Unknown,Colorectal Neoplasms,PHASE2,"folfox regimen, fluorouracil, leucovorin calcium, oxaliplatin",UNKNOWN,0
7144,NYU Langone Health,OTHER,Unknown,Combination Chemotherapy in Treating Patients With Advanced Colorectal Cancer,A Phase II Trial of Eloxatin in Combination With 5-Fluorouracil and Leucovorin in Patients With Advanced Colorectal Carcinoma,COMPLETED,1999-01,ADULT OLDER_ADULT,Colorectal Cancer,TREATMENT,"FOLFOX regimen, fluorouracil, leucovorin calcium, oxaliplatin","Unknown, Unknown, Unknown, Unknown",INTERVENTIONAL,PHASE2,Unknown,Colorectal Neoplasms,PHASE2,"folfox regimen, fluorouracil, leucovorin calcium, oxaliplatin",COMPLETED,1
7222,NovoCure Ltd.,INDUSTRY,SPONSOR,"Safety, Feasibility and Effect of TTFields (200 kHz) Concomitant With Weekly Paclitaxel in Recurrent Ovarian Carcinoma (INNOVATE)",An Open Label Pilot Study of the NovoTTF-100L(O) System (NovoTTF Therapy) (200 kHz) Concomitant With Weekly Paclitaxel for Recurrent Ovarian Carcinoma,UNKNOWN,2014-09,ADULT OLDER_ADULT,Ovarian Carcinoma,TREATMENT,"NovoTTF-100L(O), Paclitaxel","Patients will be treated continuously with the NovoTTF-100L(O). NovoTTF-100L(O) treatment will consist of wearing four electrically insulated electrode arrays on the torso. The treatment enables the patient to maintain regular daily routine., Paclitaxel 80 mg/m2 over 1 hour infusion will be administered weekly for 8 weeks and then on days 1, 8, 15 of each subsequent 28 day cycle.",INTERVENTIONAL,"PHASE1, PHASE2",Adverse Events Severity and Frequency Number of patients prematurely discontinuing TTFields due to Skin Toxicity,"Carcinoma Ovarian Neoplasms Carcinoma, Ovarian Epithelial","PHASE1, PHASE2","novottf-100l(o), paclitaxel",COMPLETED,1
